ap_id,gu,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb
1096,금천구,2019.0,2,전통시장,실외,126.901245,37.46895,6.1553094
1097,금천구,2019.0,7,공공시설,실내,126.8954,37.45683,92.2488415
1098,금천구,2019.0,7,공공시설,실내,126.8954,37.45683,836.8765247
1099,금천구,2018.0,7,공공시설,실내,126.8954,37.45683,358.8058007
1100,금천구,2018.0,7,공공시설,실내,126.8954,37.45683,108.0730181
1101,금천구,2019.0,2,전통시장,실외,126.90187,37.45583,149.3270403
1102,금천구,2019.0,2,전통시장,실외,126.90216,37.456352,59.9761201
1103,금천구,2019.0,2,전통시장,실외,126.90303,37.45735,109.4813773
1104,금천구,2019.0,2,전통시장,실외,126.90444,37.458447,318.7450749
1105,금천구,2019.0,2,전통시장,실외,126.90434,37.458862,186.0795866
1106,금천구,2019.0,2,전통시장,실외,126.90491,37.459274,220.5032755
1107,금천구,2019.0,1,주요거리,실외,126.90075,37.45482,173.8929641
1108,금천구,2019.0,1,주요거리,실외,126.904144,37.45554,151.6821779
1109,금천구,2019.0,1,주요거리,실외,126.899704,37.449646,86.3626671
1110,금천구,2019.0,3,공원(하천),실외,126.904434,37.45268,152.9959546
1111,금천구,2019.0,3,공원(하천),실외,126.92033,37.454453,241.022426
1112,금천구,2019.0,1,주요거리,실외,126.90365,37.440647,35.6650624
1113,금천구,2018.0,7,공공시설,실내,126.91158,37.45178,83.5867399
1114,금천구,2018.0,7,공공시설,실내,126.91158,37.45178,6.8639333
1115,금천구,2018.0,7,공공시설,실내,126.91158,37.45178,22.1699764
1116,금천구,2018.0,7,공공시설,실내,126.91158,37.45178,5.4373762
1117,금천구,2019.0,2,전통시장,실외,126.909004,37.451168,614.3046638
1118,금천구,2019.0,2,전통시장,실외,126.910286,37.45127,374.4517045
1119,금천구,2019.0,2,전통시장,실외,126.91052,37.451504,33.4960876
1120,금천구,2019.0,3,공원(하천),실외,126.910904,37.45454,134.4171633
1121,금천구,2019.0,3,공원(하천),실외,126.91153,37.448105,166.9451098
1122,금천구,2019.0,3,공원(하천),실외,126.91129,37.447384,239.3360993
1123,금천구,2019.0,3,공원(하천),실외,126.91223,37.447197,16.248229
1124,강동구,2018.0,7,공공시설,실내,127.16837,37.550495,219.4016971
1125,강동구,2019.0,7,공공시설,실내,127.16837,37.550495,167.000023
1126,강동구,2018.0,7,공공시설,실내,127.15171,37.5572,376.0958253
1127,강동구,2018.0,7,공공시설,실내,127.15171,37.5572,10.9799771
1128,강동구,2018.0,7,공공시설,실내,127.15171,37.5572,183.469192
1129,강동구,2018.0,7,공공시설,실내,127.14091,37.554935,662.44112
1130,강동구,2018.0,7,공공시설,실내,127.14091,37.554935,53.0477961
1131,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,105.6926344
1132,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,217.8684612
1133,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,21.4883638
1134,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,16.3515247
1135,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,181.4122607
1136,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,527.5740831
1137,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,36.5459152
1138,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,376.1034577
1139,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,384.8459809
1140,강동구,2017.0,7,공공시설,실외,127.12375,37.530144,210.2136502
1141,강동구,2017.0,7,공공시설,실외,127.12375,37.530144,255.9549708
1142,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,571.5170723
1143,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,32.3171173
1144,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,72.6445091
1145,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,554.4812508
1146,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,165.4612338
1147,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,581.6699507
1148,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,200.8937262
1149,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,215.3457513
1150,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,355.3314602
1151,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,88.7800936
1152,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,703.9097337
1153,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,442.1091642
