ap_id,gu,address,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb,age_norm,usage_norm,usage_norm_log,density_norm,cluster_k3,cluster_k3_rank
96,도봉구,덕릉로60길 9 삼대냉면 앞 전주,2020.0,1,주요거리,실외,127.03999,37.639675,79.2723892,0.357142857,0.0891263149,0.459388931,0.0,0,0
97,도봉구,창1동 산157번지 (초안산 근린공원 1),2020.0,1,주요거리,실외,127.04071,37.641125,39.2850759,0.357142857,0.0441683805,0.387166937,0.0,0,0
98,도봉구,덕릉로58길 3-4 맞은편,2020.0,1,주요거리,실외,127.0391,37.63913,75.6438255,0.357142857,0.0850467028,0.454543365,0.0,0,0
99,도봉구,창동 703-16(우이3교 교차로),2020.0,3,공원(하천),실외,127.03654,37.63709,73.5223578,0.357142857,0.0826615261,0.451602939,0.0,0,0
100,도봉구,덕릉로54길45,2020.0,3,공원(하천),실외,127.03814,37.636093,76.5638678,0.357142857,0.0860811109,0.455793357,0.0,0,0
101,도봉구,우이천로 156,2020.0,3,공원(하천),실외,127.03863,37.634544,14.528323,0.357142857,0.0163342407,0.287303457,0.0,0,0
102,도봉구,우이천로 138,2020.0,3,공원(하천),실외,127.039505,37.63324,85.0512668,0.357142857,0.0956235356,0.466671161,0.0,0,0
103,도봉구,우이천로 120 신화초교정문 횡단보도,2020.0,3,공원(하천),실외,127.04086,37.63198,65.4380328,0.357142857,0.0735722795,0.439574103,0.0,0,0
104,도봉구,덕릉로60길 135-70,2020.0,1,주요거리,실외,127.04352,37.634804,37.6656251,0.357142857,0.042347624,0.382868874,0.0,0,0
105,도봉구,덕릉로60길 109-64 신창초교 뒤 삼거리,2020.0,1,주요거리,실외,127.042984,37.63581,26.7899897,0.357142857,0.0301200932,0.34827128,0.0,0,0
106,도봉구,창3동 산 203-4번지일대 창3동 주민센터 옆 생태연못,2020.0,1,주요거리,실외,127.04289,37.63747,670.6975269,0.357142857,0.754068526,0.681926209,0.0,0,0
107,도봉구,창3동 산 199번지일대 창3동 주민센터 뒤 공원,2020.0,3,공원(하천),실외,127.043205,37.63794,37.5939499,0.357142857,0.0422670392,0.382674509,0.0,0,0
108,도봉구,창1동 산157번지 (초안산 근린공원 5),2020.0,3,공원(하천),실외,127.03581,37.637276,41.8863137,0.357142857,0.0470929651,0.393721561,0.0,0,0
109,도봉구,노해로 70길 119 월천초교,2021.0,1,주요거리,실외,127.05305,37.646202,288.275397,0.285714286,0.324109432,0.593678515,0.0,0,0
110,도봉구,마들로 339-5(창4동 어린이집 시점 표지판 앞),2020.0,1,주요거리,실외,127.05392,37.642647,52.0001434,0.357142857,0.0584639939,0.415902342,0.0,0,0
111,도봉구,덕릉로 376 녹천역 1번출구 정류장 의자옆,2020.0,1,주요거리,실외,127.05058,37.645813,93.7640054,0.357142857,0.105419311,0.476774294,0.0,0,0
112,도봉구,노해로66길 60 창일중 후문쪽 창동주공아파트 321동앞 삼거리,2020.0,1,주요거리,실외,127.04612,37.649277,28.5749808,0.357142857,0.0321269676,0.354792511,0.0,0,0
113,도봉구,창1동 368(밤골어린이공원),2020.0,3,공원(하천),실외,127.045815,37.6487,61.4790461,0.357142857,0.0691211711,0.433138189,0.0,0,0
114,도봉구,창1동 산157번지 (초안산 근린공원 4),2020.0,3,공원(하천),실외,127.04626,37.648293,22.0938162,0.357142857,0.0248401621,0.328880188,0.0,0,0
115,도봉구,"창1동 산156-4(초안산근린공원, 서울가든아파트 105동 뒤)",2020.0,3,공원(하천),실외,127.045364,37.647106,25.5818769,0.357142857,0.028761806,0.343615367,0.0,0,0
