ap_id,gu,install_type_code,lon,lat,age_norm,usage_norm,density_norm,cluster_k3,cluster_k4
5378,중구,7,126.978355,37.56689,0.35714285714285715,0.8314348418090297,0.5634146341463414,1,1
5379,중구,7,126.978355,37.56689,0.35714285714285715,0.5065494707244848,0.5634146341463414,0,3
5380,중구,7,126.978355,37.56689,0.35714285714285715,1.0,0.5634146341463414,1,1
5381,중구,7,126.978355,37.56689,0.35714285714285715,0.20708033389138933,0.5634146341463414,0,3
5382,중구,7,126.978355,37.56689,0.35714285714285715,0.3899342610419297,0.5634146341463414,0,3
5383,중구,7,126.978355,37.56689,0.35714285714285715,0.3456787593696816,0.5634146341463414,0,3
5384,중구,7,126.978355,37.56689,0.35714285714285715,0.4285756895970364,0.5634146341463414,0,3
5385,중구,7,126.978355,37.56689,0.35714285714285715,0.8078768068008296,0.5634146341463414,1,1
5386,중구,7,126.978355,37.56689,0.35714285714285715,0.476952660917951,0.5634146341463414,0,3
5387,중구,7,126.978355,37.56689,0.35714285714285715,0.4291664261895475,0.5634146341463414,0,3
5388,중구,7,126.978355,37.56689,0.35714285714285715,0.8929949155401787,0.5634146341463414,1,1
5389,중구,7,126.978355,37.56689,0.35714285714285715,1.0,0.5634146341463414,1,1
5390,중구,7,126.978355,37.56689,0.35714285714285715,0.09925401218690087,0.5634146341463414,0,3
5391,중구,7,126.978355,37.56689,0.35714285714285715,0.5546539316472646,0.5634146341463414,0,3
5392,중구,7,126.978355,37.56689,0.35714285714285715,0.30160714984950177,0.5634146341463414,0,3
5393,중구,7,126.978355,37.56689,0.35714285714285715,0.675813575572598,0.5634146341463414,1,3
5394,중구,7,126.978355,37.56689,0.35714285714285715,0.7381221285114324,0.5634146341463414,1,1
5395,중구,7,126.978355,37.56689,0.35714285714285715,0.4960292886033624,0.5634146341463414,0,3
5396,중구,7,126.978355,37.56689,0.35714285714285715,0.6450159557431815,0.5634146341463414,0,3
5397,중구,7,126.978355,37.56689,0.35714285714285715,0.1669365833136942,0.5634146341463414,0,3
5398,중구,7,126.978355,37.56689,0.35714285714285715,0.1316325039127299,0.5634146341463414,0,3
5399,중구,7,126.978355,37.56689,0.35714285714285715,0.7679486819155658,0.5634146341463414,1,1
5400,중구,7,126.978355,37.56689,0.35714285714285715,0.28879930806800447,0.5634146341463414,0,3
5401,중구,7,126.978355,37.56689,0.35714285714285715,0.3141859325072614,0.5634146341463414,0,3
